time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/std
1,3,100.15837057142856,22.32967032967033,638,2048,,,,,,,,,,,
2,9,100.92403756999998,22.54,411,4096,0.017589008,-24.093655836582183,10,-0.05313001256727148,521.6380004882812,0.0003,0.186376953125,0.00312197208404541,1298.6748872756957,0.2,0.9970301389694214
3,16,103.49175831000002,22.99,362,6144,0.022425095,-24.056155055761337,20,-0.06796488276741001,408.8553161621094,0.0003,0.2443359375,-0.004580497741699219,995.4848426818847,0.2,0.9953670501708984
4,23,108.39265109999998,24.52,342,8192,0.025760973,-24.023076194524766,30,-0.0750503225135617,347.1827697753906,0.0003,0.283447265625,-2.4557113647460938e-05,911.3575494766235,0.2,0.993541955947876
5,30,111.0343815,24.75,334,10240,0.032901045,-24.004656451940537,40,-0.0843404841289157,375.9139709472656,0.0003,0.351318359375,0.0005731582641601562,842.3206373214722,0.2,0.9922884702682495
6,37,103.0089703,23.09,331,12288,0.033607278,-23.995828944444657,50,-0.08523027728952001,441.1497802734375,0.0003,0.355712890625,-9.930133819580078e-05,889.3540683746338,0.2,0.9916167855262756
7,43,111.21209640000001,24.78,332,14336,0.030166175,-23.971766805648805,60,-0.08592382221249864,348.6754150390625,0.0003,0.356640625,0.007606863975524902,756.6447109222412,0.2,0.9913454651832581
8,48,112.95945324000002,25.12,335,16384,0.021242352,-23.966649061441423,70,-0.07304682816029526,376.1498718261719,0.0003,0.234814453125,0.03519725799560547,874.7906267166138,0.2,0.9907839298248291
9,55,118.57264404000001,26.2,333,18432,0.016511848,-23.96732570528984,80,-0.06382615428010467,432.6281433105469,0.0003,0.170068359375,0.08373773097991943,865.8837734222412,0.2,0.9911351203918457
10,62,118.83904840000001,26.33,326,20480,0.014339173,-23.944966810941697,90,-0.05561466561630368,416.8824157714844,0.0003,0.134814453125,0.19288069009780884,826.7089672088623,0.2,0.9886100888252258
