time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/std
2048,96.50670420212765,3,21.659574468085108,587,1,,,,,,,,,,,
4096,99.92302853999998,9,22.35,433,2,0.208056640625,0.018071396,0.0003,1032.7939571380616,-0.043733644249732605,-24.066506510972978,424.61065673828125,10,-0.0009961128234863281,0.2,0.9953043460845947
6144,103.14124578,15,23.05,384,3,0.2130859375,0.019546347,0.0003,1020.6981189727783,-0.048480176480370576,-24.033661246299744,507.9418029785156,20,0.0001195669174194336,0.2,0.994317889213562
8192,107.41298984,21,23.9,375,4,0.206103515625,0.018298557,0.0003,957.9435050964355,-0.050833458447596055,-24.05033056139946,433.29541015625,30,0.00013458728790283203,0.2,0.9963841438293457
10240,112.34309179000003,28,24.9,361,5,0.26826171875,0.022400234,0.0003,909.7383813858032,-0.06007564552710391,-24.026226514577864,485.16162109375,40,6.365776062011719e-05,0.2,0.993634819984436
12288,108.31862113999999,33,24.2,371,6,0.29892578125,0.024623951,0.0003,1002.8020540237427,-0.06205243494478054,-24.024062329530715,529.958740234375,50,5.882978439331055e-05,0.2,0.9937697052955627
14336,114.15927411999999,37,25.32,379,7,0.3390625,0.02933649,0.0003,797.7853942871094,-0.06666559692239389,-24.020023262500764,355.92962646484375,60,7.045269012451172e-05,0.2,0.9936391115188599
16384,115.81017701,44,25.71,367,8,0.23623046875,0.017666344,0.0003,874.8441764831543,-0.05856627251487225,-23.999807226657868,376.4026794433594,70,0.011295557022094727,0.2,0.9929704070091248
18432,126.27873864000001,50,27.93,362,9,0.20341796875,0.018020995,0.0003,686.3626816749572,-0.05276009343506303,-23.988310354948045,386.817138671875,80,0.41044914722442627,0.2,0.9916890263557434
20480,133.04199027,57,29.43,357,10,0.193798828125,0.01692289,0.0003,718.2076385498046,-0.05200908094411716,-23.957175129652022,388.8450622558594,90,0.49562907218933105,0.2,0.9892342686653137
